A,B,X,arch,ETL,HTL,Predicted_PCE,egitim_kayit_sayisi
FA0.85_MA0.15,Pb,I0.6_Br0.4,nip,PCBM_60,Spiro_MeOTAD,14.155776092966205,68
FA,Pb,I0.83_Br0.17,nip,SnO2_np,PTAA,14.151722796364016,51
FA0.85_MA0.15,Pb0.5_Sn0.5,I,nip,PCBM_60,PTAA,14.143770616350093,6
FA0.85_MA0.15,Pb0.5_Sn0.5,I0.6_Br0.4,nip,SnO2_np,PTAA,14.14295816422963,51
Cs0.2_FA0.8,Pb0.5_Sn0.5,I,nip,SnO2_np,PTAA,14.137470004487714,51
MA,Pb,I,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.137231754142151,15
FA0.83_Cs0.17,Pb0.5_Sn0.5,I,nip,SnO2_np,PTAA,14.127246114907226,51
MA,Pb,I0.6_Br0.4,nip,SnO2_np,Spiro_MeOTAD,14.12693974507716,916
Cs0.2_FA0.8,Pb,I0.6_Br0.4,nip,PCBM_60,Spiro_MeOTAD,14.125395955415916,68
MA,Pb,I0.83_Br0.17,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.117926122199762,15
MA0.9_Cs0.1,Pb,I0.83_Br0.17,pin,PCBM_60,PTAA,14.11325316747641,61
MA,Pb,I,nip,TiO2_c___TiO2_mp,PTAA,14.079904511150282,263
FA0.85_MA0.15,Pb0.5_Sn0.5,I0.83_Br0.17,nip,PCBM_60,PTAA,14.061820420547894,6
FA0.85_MA0.15,Pb0.5_Sn0.5,I0.83_Br0.17,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.04010175002469,15
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I,nip,TiO2_c___TiO2_mp,PTAA,14.033379055124362,263
MA0.9_Cs0.1,Pb,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.006331025592957,5986
MA0.9_Cs0.1,Pb,I0.83_Br0.17,nip,PCBM_60,PTAA,13.986832647987685,6
MA0.9_Cs0.1,Pb0.5_Sn0.5,I,pin,SnO2_np,Spiro_MeOTAD,13.967720255109006,10
MA,Pb,I,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,13.94315844478962,5986
FA0.85_MA0.15,Pb0.5_Sn0.5,I,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,13.918934542252872,5986
MA,Pb,I0.83_Br0.17,nip,PCBM_60,PTAA,13.916736939446707,6
FA,Pb,I,nip,SnO2_np,PTAA,13.91668736162652,51
MA0.9_Cs0.1,Pb0.5_Sn0.5,I,nip,SnO2_np,Spiro_MeOTAD,13.909678231165572,916
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.6_Br0.4,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,13.906496406972412,15
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,PTAA,13.836178859690609,263
FA0.85_MA0.15,Pb0.5_Sn0.5,I,nip,TiO2_c___TiO2_mp,PTAA,13.822944708641902,263
MA0.9_Cs0.1,Pb0.5_Sn0.5,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,13.817610083890418,10
FA0.85_MA0.15,Pb,I,nip,SnO2_np,PEDOT_PSS,13.799916185324298,5
MA0.9_Cs0.1,Pb,I0.6_Br0.4,nip,SnO2_np,PTAA,13.79570771105716,51
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.6_Br0.4,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,13.792456642462568,5986
MA0.9_Cs0.1,Pb,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,PTAA,13.74896345405126,263
FA0.85_MA0.15,Pb0.5_Sn0.5,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,13.72475329448242,5986
MA0.9_Cs0.1,Pb0.5_Sn0.5,I,nip,SnO2_np,PTAA,13.72449078633989,51
FA0.85_MA0.15,Pb,I0.83_Br0.17,nip,SnO2_np,PEDOT_PSS,13.718032254427657,5
MA,Pb,I0.6_Br0.4,nip,SnO2_np,PTAA,13.6829825098933,51
MA,Pb0.5_Sn0.5,I,pin,SnO2_np,Spiro_MeOTAD,13.639921598269792,10
Cs0.2_FA0.8,Pb0.5_Sn0.5,I0.83_Br0.17,pin,PCBM_60,PTAA,13.61123203795836,61
FA0.83_Cs0.17,Pb0.5_Sn0.5,I0.83_Br0.17,pin,PCBM_60,PTAA,13.61098931153173,61
MA,Pb0.5_Sn0.5,I,nip,SnO2_np,PTAA,13.60325451689622,51
FA0.85_MA0.15,Pb0.5_Sn0.5,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,PTAA,13.579468023575684,263
MA,Pb,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,13.57402199378194,5986
FA0.85_MA0.15,Pb0.5_Sn0.5,I0.6_Br0.4,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,13.56801178577204,15
MA,Pb0.5_Sn0.5,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,13.56324650366552,10
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.83_Br0.17,nip,PCBM_60,Spiro_MeOTAD,13.562191764836117,68
MA0.9_Cs0.1,Pb0.5_Sn0.5,I0.83_Br0.17,nip,SnO2_np,Spiro_MeOTAD,13.55964611499874,916
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I,nip,PCBM_60,Spiro_MeOTAD,13.548570033710076,68
MA,Pb0.5_Sn0.5,I,nip,SnO2_np,Spiro_MeOTAD,13.545545838901306,916
FA0.8_MA0.1_Cs0.1,Pb,I,nip,SnO2_np,PEDOT_PSS,13.511203334068652,5
MA,Pb,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,PTAA,13.50016579714117,263
FA0.8_MA0.1_Cs0.1,Pb,I0.83_Br0.17,nip,SnO2_np,PEDOT_PSS,13.475595892804478,5
FA0.83_Cs0.17,Pb0.5_Sn0.5,I0.6_Br0.4,nip,SnO2_np,PTAA,13.475514975967496,51
Cs0.2_FA0.8,Pb0.5_Sn0.5,I0.6_Br0.4,nip,SnO2_np,PTAA,13.41099656533858,51
FA0.83_Cs0.17,Pb0.5_Sn0.5,I0.83_Br0.17,nip,PCBM_60,PTAA,13.400052883360498,6
Cs0.2_FA0.8,Pb0.5_Sn0.5,I0.83_Br0.17,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,13.395918738733403,15
FA0.85_MA0.15,Pb0.5_Sn0.5,I0.6_Br0.4,pin,PCBM_60,PTAA,13.3920949382097,61
